"No.","Time","Source","Destination","Protocol","Length","Info"
"65","1.202421","192.168.2.103","224.0.0.251","MDNS","183","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"68","1.202436","192.168.2.103","224.0.0.251","MDNS","371","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"72","1.202893","192.168.2.103","224.0.0.251","MDNS","175","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"74","1.203353","192.168.2.103","224.0.0.251","MDNS","175","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"95","1.468747","192.168.2.103","224.0.0.251","MDNS","186","Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question"
"104","1.469528","192.168.2.103","224.0.0.251","MDNS","366","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"107","1.469879","192.168.2.103","224.0.0.251","MDNS","366","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"378","5.260103","192.168.2.103","224.0.0.251","MDNS","183","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"381","5.260122","192.168.2.103","224.0.0.251","MDNS","371","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"405","5.484266","192.168.2.103","224.0.0.251","MDNS","186","Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question"
"411","5.484774","192.168.2.103","224.0.0.251","MDNS","366","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"5322","11.459658","192.168.2.103","157.240.26.49","TLSv1.2","201","Application Data"
"5323","11.459664","192.168.2.103","157.240.26.49","TLSv1.2","178","Application Data"
"5324","11.459669","192.168.2.103","157.240.26.49","TCP","154","2030  >  443 [FIN, ACK] Seq=72 Ack=1 Win=251 Len=0"
"5325","11.459674","192.168.2.103","192.168.2.1","DNS","176","Standard query 0x1e33 A graph.oculus.com"
"5329","11.511458","192.168.2.103","192.168.2.1","DNS","176","Standard query 0xbb1d A graph.oculus.com"
"5330","11.511464","192.168.2.103","192.168.2.1","DNS","176","Standard query 0xdbc1 HTTPS graph.oculus.com"
"5333","11.548221","192.168.2.1","192.168.2.103","DNS","219","Standard query response 0x1e33 A graph.oculus.com CNAME oculus.c10r.facebook.com A 157.240.26.49"
"5337","11.549655","192.168.2.103","157.240.26.49","TCP","158","2166  >  443 [SYN] Seq=0 Win=64480 Len=0 MSS=1460 WS=256 SACK_PERM"
"5339","11.582160","157.240.26.49","192.168.2.103","TCP","158","443  >  2166 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"5343","11.582750","192.168.2.103","157.240.26.49","TCP","146","2166  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"5345","11.582773","192.168.2.1","192.168.2.103","DNS","219","Standard query response 0xbb1d A graph.oculus.com CNAME oculus.c10r.facebook.com A 157.240.26.49"
"5349","11.583346","192.168.2.103","157.240.26.49","TLSv1.3","664","Client Hello (SNI=graph.oculus.com)"
"5352","11.584302","192.168.2.103","157.240.26.49","TCP","664","[TCP Retransmission] 2166  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=518"
"5356","11.588542","192.168.2.103","157.240.26.49","TCP","664","[TCP Retransmission] 2166  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=518"
"5358","11.599388","157.240.26.49","192.168.2.103","TCP","146","443  >  2166 [ACK] Seq=1 Ack=519 Win=66816 Len=0"
"5360","11.599862","157.240.26.49","192.168.2.103","TLSv1.3","358","Server Hello, Change Cipher Spec, Application Data"
"5364","11.600724","192.168.2.103","157.240.26.49","TLSv1.3","210","Change Cipher Spec, Application Data"
"5368","11.600988","192.168.2.103","157.240.26.49","TLSv1.3","240","Application Data"
"5369","11.600994","192.168.2.103","157.240.26.49","TLSv1.3","506","Application Data"
"5371","11.609856","157.240.26.49","192.168.2.103","TCP","146","443  >  2166 [ACK] Seq=213 Ack=669 Win=66816 Len=0"
"5373","11.610402","157.240.26.49","192.168.2.103","TLSv1.3","323","Application Data"
"5374","11.610411","157.240.26.49","192.168.2.103","TLSv1.3","228","Application Data"
"5376","11.610664","157.240.26.49","192.168.2.103","TLSv1.3","190","Application Data"
"5380","11.610931","192.168.2.103","157.240.26.49","TCP","146","2166  >  443 [ACK] Seq=1021 Ack=456 Win=65024 Len=0"
"5384","11.611312","192.168.2.103","157.240.26.49","TLSv1.3","177","Application Data"
"5388","11.611570","192.168.2.103","157.240.26.49","TCP","158","2167  >  443 [SYN] Seq=0 Win=64480 Len=0 MSS=1460 WS=256 SACK_PERM"
"5390","11.611917","192.168.2.1","192.168.2.103","DNS","287","Standard query response 0xdbc1 HTTPS graph.oculus.com CNAME oculus.c10r.facebook.com HTTPS HTTPS"
"5391","11.612279","192.168.2.1","192.168.2.103","DNS","287","Standard query response 0xdbc1 HTTPS graph.oculus.com CNAME oculus.c10r.facebook.com HTTPS HTTPS"
"5393","11.621303","157.240.26.49","192.168.2.103","TCP","158","443  >  2167 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"5397","11.621849","192.168.2.103","157.240.26.49","TCP","146","2167  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"5401","11.622114","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 5397#1] 2167  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"5405","11.622664","192.168.2.103","157.240.26.49","TLSv1.3","827","Client Hello (SNI=graph.oculus.com)"
"5407","11.636337","157.240.26.49","192.168.2.103","TCP","146","443  >  2167 [ACK] Seq=1 Ack=682 Win=67072 Len=0"
"5409","11.636710","157.240.26.49","192.168.2.103","TLSv1.3","903","Server Hello, Change Cipher Spec, Application Data"
"5415","11.638511","192.168.2.103","157.240.26.49","TLSv1.3","218","Change Cipher Spec, Application Data"
"5416","11.638522","192.168.2.103","157.240.26.49","TLSv1.3","246","Application Data"
"5417","11.638527","192.168.2.103","157.240.26.49","TLSv1.3","544","Application Data"
"5418","11.638532","192.168.2.103","157.240.26.49","TLSv1.3","526","Application Data"
"5421","11.647126","157.240.26.49","192.168.2.103","TCP","146","443  >  2167 [ACK] Seq=758 Ack=838 Win=67072 Len=0"
"5423","11.647873","157.240.26.49","192.168.2.103","TCP","154","443  >  2167 [ACK] Seq=758 Ack=1600 Win=69632 Len=0"
"5424","11.647885","157.240.26.49","192.168.2.103","TLSv1.3","323","Application Data"
"5428","11.648474","157.240.26.49","192.168.2.103","TLSv1.3","228","Application Data"
"5429","11.648485","157.240.26.49","192.168.2.103","TLSv1.3","198","Application Data"
"5433","11.648988","192.168.2.103","157.240.26.49","TCP","154","2167  >  443 [ACK] Seq=1600 Ack=1045 Win=64512 Len=0"
"5434","11.648994","192.168.2.103","157.240.26.49","TLSv1.3","185","Application Data"
"5438","11.656466","192.168.2.103","157.240.26.49","TCP","146","2166  >  443 [ACK] Seq=1052 Ack=500 Win=65024 Len=0"
"5443","11.658321","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 5438#1] 2166  >  443 [ACK] Seq=1052 Ack=500 Win=65024 Len=0"
"5445","11.661805","157.240.26.49","192.168.2.103","TCP","146","443  >  2166 [ACK] Seq=500 Ack=1052 Win=67840 Len=0"
"5459","11.690407","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 2030  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"5461","11.697964","157.240.26.49","192.168.2.103","TCP","146","443  >  2167 [ACK] Seq=1045 Ack=1631 Win=69632 Len=0"
"5465","11.717956","157.240.26.49","192.168.2.103","TLSv1.3","655","Application Data"
"5467","11.718080","157.240.26.49","192.168.2.103","TLSv1.3","231","Application Data"
"5471","11.719084","192.168.2.103","157.240.26.49","TCP","146","2167  >  443 [ACK] Seq=1631 Ack=1639 Win=65536 Len=0"
"5473","11.726786","157.240.26.49","192.168.2.103","TLSv1.3","700","Application Data"
"5475","11.726815","157.240.26.49","192.168.2.103","TLSv1.3","250","Application Data"
"5479","11.727884","192.168.2.103","157.240.26.49","TCP","146","2166  >  443 [ACK] Seq=1052 Ack=1158 Win=64512 Len=0"
"5509","11.999396","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 2030  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"5521","12.605268","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 2030  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"5529","12.863346","192.168.2.103","34.107.172.168","TLSv1.2","1347","Application Data"
"5533","12.892398","34.107.172.168","192.168.2.103","TCP","146","443  >  2097 [ACK] Seq=1 Ack=1202 Win=1006 Len=0"
"5535","12.911247","34.107.172.168","192.168.2.103","TLSv1.2","330","Application Data"
"5539","12.969393","192.168.2.103","34.107.172.168","TCP","146","2097  >  443 [ACK] Seq=1202 Ack=185 Win=251 Len=0"
"5545","13.142687","192.168.2.103","192.168.2.1","DNS","173","Standard query 0x1a97 A static.nvidiagrid.net"
"5551","13.195042","192.168.2.103","224.0.0.251","MDNS","183","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"5555","13.195297","192.168.2.103","224.0.0.251","MDNS","183","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"5563","13.196007","192.168.2.103","224.0.0.251","MDNS","363","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"5566","13.196487","192.168.2.103","224.0.0.251","MDNS","363","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"5568","13.248479","192.168.2.1","192.168.2.103","DNS","286","Standard query response 0x1a97 A static.nvidiagrid.net CNAME static.nvidiagrid.net.edgekey.net CNAME e28142.dscg.akamaiedge.net A 23.192.220.16 A 23.192.220.4"
"5573","13.250197","192.168.2.103","23.192.220.16","TCP","158","2168  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"5577","13.251925","192.168.2.103","157.240.26.49","TCP","158","2169  >  443 [SYN] Seq=0 Win=64480 Len=0 MSS=1460 WS=256 SACK_PERM"
"5579","13.260178","23.192.220.16","192.168.2.103","TCP","158","443  >  2168 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1384 SACK_PERM WS=128"
"5583","13.260679","192.168.2.103","23.192.220.16","TCP","146","2168  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"5587","13.261140","192.168.2.103","23.192.220.16","TLSv1.3","767","Client Hello (SNI=static.nvidiagrid.net)"
"5589","13.261159","157.240.26.49","192.168.2.103","TCP","158","443  >  2169 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"5593","13.261706","192.168.2.103","157.240.26.49","TCP","146","2169  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"5597","13.262696","192.168.2.103","157.240.26.49","TLSv1.2","365","Client Hello (SNI=graph.oculus.com)"
"5599","13.272410","23.192.220.16","192.168.2.103","TCP","146","443  >  2168 [ACK] Seq=1 Ack=622 Win=64128 Len=0"
"5601","13.272898","23.192.220.16","192.168.2.103","TLSv1.3","410","Server Hello, Change Cipher Spec, Application Data, Application Data"
"5603","13.273255","157.240.26.49","192.168.2.103","TCP","146","443  >  2169 [ACK] Seq=1 Ack=220 Win=66816 Len=0"
"5607","13.274165","192.168.2.103","23.192.220.16","TLSv1.3","234","Change Cipher Spec, Application Data"
