"No.","Time","Source","Destination","Protocol","Length","Info"
"5371","11.609856","157.240.26.49","192.168.2.103","TCP","146","443  >  2166 [ACK] Seq=213 Ack=669 Win=66816 Len=0"
"5401","11.622114","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 5397#1] 2167  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"5709","13.311838","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [ACK] Seq=18264 Ack=1127 Win=64128 Len=1240"
"5710","13.311842","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [PSH, ACK] Seq=19504 Ack=1127 Win=64128 Len=1240"
"5711","13.311847","23.192.220.16","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2168 [ACK] Seq=25704 Ack=1127 Win=64128 Len=1240"
"5712","13.311851","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [ACK] Seq=26944 Ack=1127 Win=64128 Len=1240"
"5713","13.311855","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [ACK] Seq=28184 Ack=1127 Win=64128 Len=1240"
"5714","13.311860","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [PSH, ACK] Seq=29424 Ack=1127 Win=64128 Len=1240"
"5727","13.314373","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [ACK] Seq=30664 Ack=1127 Win=64128 Len=1240"
"5728","13.314377","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [ACK] Seq=31904 Ack=1127 Win=64128 Len=1240"
"5730","13.314383","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [PSH, ACK] Seq=34384 Ack=1127 Win=64128 Len=1240 [TCP PDU reassembled in 5731]"
"5732","13.314389","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [ACK] Seq=36864 Ack=1158 Win=64128 Len=1240"
"5733","13.314392","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [ACK] Seq=38104 Ack=1158 Win=64128 Len=1240"
"5752","13.320037","23.192.220.16","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2168 [PSH, ACK] Seq=46784 Ack=1158 Win=64128 Len=1240"
"5753","13.320041","23.192.220.16","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2168 [ACK] Seq=49264 Ack=1158 Win=64128 Len=1240"
"5754","13.320046","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [ACK] Seq=50504 Ack=1158 Win=64128 Len=1240"
"5756","13.320055","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [ACK] Seq=52984 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 5788]"
"5757","13.320058","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [PSH, ACK] Seq=54224 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 5788]"
"5780","13.329199","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [ACK] Seq=61664 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 5788]"
"5781","13.329202","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [ACK] Seq=62904 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 5788]"
"5782","13.329206","23.192.220.16","192.168.2.103","TCP","1394","443  >  2168 [PSH, ACK] Seq=64144 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 5788]"
"5797","13.331208","192.168.2.103","23.192.220.16","TCP","146","[TCP Dup ACK 5794#1] 2168  >  443 [ACK] Seq=1158 Ack=64144 Win=66304 Len=0"
"5813","13.334233","192.168.2.103","23.192.220.16","TCP","146","[TCP Dup ACK 5808#1] 2168  >  443 [ACK] Seq=1158 Ack=65384 Win=65024 Len=0"
"5820","13.334953","192.168.2.103","23.192.220.16","TCP","146","[TCP Dup ACK 5817#1] 2168  >  443 [ACK] Seq=1158 Ack=70344 Win=66304 Len=0"
"5827","13.344526","157.240.26.49","192.168.2.103","TCP","1394","443  >  2169 [PSH, ACK] Seq=5020 Ack=7845 Win=83456 Len=1240 [TCP PDU reassembled in 5828]"
"6061","13.880616","157.240.26.49","192.168.2.103","TCP","154","443  >  2169 [ACK] Seq=21765 Ack=49255 Win=174848 Len=0"
"6062","13.880629","157.240.26.49","192.168.2.103","TCP","154","443  >  2169 [ACK] Seq=21765 Ack=51555 Win=180480 Len=0"
"6172","14.239058","157.240.26.49","192.168.2.103","TCP","146","[TCP Dup ACK 6171#1] 443  >  2174 [ACK] Seq=3937 Ack=1916 Win=270 Len=0"
"6175","14.239290","157.240.26.49","192.168.2.103","TCP","146","[TCP Dup ACK 6171#2] 443  >  2174 [ACK] Seq=3937 Ack=1916 Win=270 Len=0"
"6194","14.249878","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 6190#1] 2174  >  443 [ACK] Seq=2902 Ack=4749 Win=64512 Len=0"
"6197","14.250442","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 6190#2] 2174  >  443 [ACK] Seq=2902 Ack=4749 Win=64512 Len=0"
"6305","15.785068","157.240.26.49","192.168.2.103","TCP","1394","443  >  2174 [ACK] Seq=11344 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6378]"
"6315","15.786787","157.240.26.49","192.168.2.103","TCP","1394","443  >  2174 [PSH, ACK] Seq=12584 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6378]"
"6387","15.803597","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2174 [PSH, ACK] Seq=31184 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6450]"
"6390","15.803609","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2174 [ACK] Seq=34904 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6450]"
"6395","15.805523","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2174 [ACK] Seq=32424 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6450]"
"6396","15.805527","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2174 [PSH, ACK] Seq=33664 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6450]"
"6398","15.805535","157.240.26.49","192.168.2.103","TCP","1394","443  >  2174 [PSH, ACK] Seq=36144 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6450]"
"6504","15.836273","157.240.26.49","192.168.2.103","TCP","1394","443  >  2174 [ACK] Seq=47304 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6505]"
"6506","15.836281","157.240.26.49","192.168.2.103","TCP","1394","443  >  2174 [PSH, ACK] Seq=49784 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6536]"
"6507","15.836286","157.240.26.49","192.168.2.103","TCP","1394","443  >  2174 [ACK] Seq=51024 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6536]"
"7461","17.928860","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 7458#1] 2174  >  443 [ACK] Seq=3976 Ack=135095 Win=65536 Len=0"
"8135","19.491343","34.36.199.114","192.168.2.103","TCP","146","443  >  2179 [ACK] Seq=1568 Ack=2236 Win=267776 Len=0"
"8246","19.534196","34.36.199.114","192.168.2.103","TCP","146","[TCP Dup ACK 8245#1] 443  >  2183 [ACK] Seq=1753 Ack=2600 Win=267520 Len=0"
"8389","19.578099","34.36.199.114","192.168.2.103","TCP","146","443  >  2183 [FIN, ACK] Seq=2123 Ack=2933 Win=267264 Len=0"
