"No.","Time","Source","Destination","Protocol","Length","Info"
"5668","13.292334","192.168.2.103","157.240.26.49","TCP","1221","[TCP Previous segment not captured] 2169  >  443 [PSH, ACK] Seq=6740 Ack=3700 Win=65536 Len=1067 [TCP PDU reassembled in 5686]"
"5711","13.311847","23.192.220.16","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2168 [ACK] Seq=25704 Ack=1127 Win=64128 Len=1240"
"5752","13.320037","23.192.220.16","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2168 [PSH, ACK] Seq=46784 Ack=1158 Win=64128 Len=1240"
"5753","13.320041","23.192.220.16","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2168 [ACK] Seq=49264 Ack=1158 Win=64128 Len=1240"
"5824","13.343315","157.240.26.49","192.168.2.103","TCP","1386","[TCP Previous segment not captured] 443  >  2169 [ACK] Seq=3780 Ack=7845 Win=83456 Len=1240 [TCP PDU reassembled in 5828]"
"5979","13.517099","157.240.26.49","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  2169 [ACK] Seq=15772 Ack=30973 Win=135424 Len=0"
"6387","15.803597","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2174 [PSH, ACK] Seq=31184 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6450]"
"6390","15.803609","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2174 [ACK] Seq=34904 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6450]"
"6619","15.878318","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2174 [ACK] Seq=80784 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6803]"
"7678","19.216369","34.36.199.114","192.168.2.103","TCP","150","[TCP ACKed unseen segment] [TCP Previous segment not captured] 443  >  2175 [FIN, ACK] Seq=949 Ack=1110 Win=268800 Len=0"
"7682","19.216874","192.168.2.103","34.36.199.114","TCP","146","[TCP ACKed unseen segment] [TCP Previous segment not captured] 2175  >  443 [ACK] Seq=1110 Ack=950 Win=255 Len=0"
"8245","19.534079","34.36.199.114","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  2183 [ACK] Seq=1753 Ack=2600 Win=267520 Len=0"
"8338","19.566673","34.36.199.114","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  2184 [ACK] Seq=1737 Ack=2616 Win=267520 Len=0"
"8805","21.051614","157.240.26.35","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2188 [PSH, ACK] Seq=16866 Ack=601 Win=67840 Len=1240"
"38140","41.174147","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [ACK] Seq=74991 Ack=1003 Win=269056 Len=1240"
"38156","41.175672","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [ACK] Seq=83671 Ack=1003 Win=269056 Len=1240"
"38221","41.190279","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [ACK] Seq=133271 Ack=1003 Win=269056 Len=1240"
"38252","41.201933","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [ACK] Seq=150631 Ack=1003 Win=269056 Len=1240"
"38345","41.218023","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [ACK] Seq=200231 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 38424]"
"38409","41.228274","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [ACK] Seq=249831 Ack=1003 Win=269056 Len=1240"
"38467","41.242261","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [ACK] Seq=285791 Ack=1003 Win=269056 Len=1240"
"38530","41.253632","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [PSH, ACK] Seq=330431 Ack=1003 Win=269056 Len=1240"
"38553","41.257635","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [ACK] Seq=336631 Ack=1003 Win=269056 Len=1240"
"38601","41.266782","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [PSH, ACK] Seq=370111 Ack=1003 Win=269056 Len=1240"
"38618","41.269678","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [PSH, ACK] Seq=382511 Ack=1003 Win=269056 Len=1240"
"38691","41.286019","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [ACK] Seq=423431 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 38715]"
"38988","41.339904","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [ACK] Seq=606951 Ack=1003 Win=269056 Len=1240"
"39077","41.362382","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [PSH, ACK] Seq=670191 Ack=1003 Win=269056 Len=1240"
"40040","41.560679","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [ACK] Seq=1226951 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 40104]"
"40192","41.599459","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [PSH, ACK] Seq=1300111 Ack=1003 Win=269056 Len=1240"
"40492","41.655942","142.250.191.138","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2201 [ACK] Seq=1469991 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 40518]"
