"No.","Time","Source","Destination","Protocol","Length","Info"
"5459","11.690407","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 2030  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"5509","11.999396","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 2030  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"5521","12.605268","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 2030  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"5678","13.293899","192.168.2.103","157.240.26.49","TCP","207","[TCP Retransmission] 2169  >  443 [PSH, ACK] Seq=346 Ack=3700 Win=65536 Len=53"
"5679","13.293904","192.168.2.103","157.240.26.49","TCP","210","[TCP Retransmission] 2169  >  443 [PSH, ACK] Seq=399 Ack=3700 Win=65536 Len=56"
"5680","13.293909","192.168.2.103","157.240.26.49","TCP","196","[TCP Retransmission] 2169  >  443 [PSH, ACK] Seq=455 Ack=3700 Win=65536 Len=42"
"5681","13.293914","192.168.2.103","157.240.26.49","TCP","197","[TCP Retransmission] 2169  >  443 [PSH, ACK] Seq=497 Ack=3700 Win=65536 Len=43"
"5682","13.293919","192.168.2.103","157.240.26.49","TCP","1394","[TCP Retransmission] 2169  >  443 [ACK] Seq=540 Ack=3700 Win=65536 Len=1240"
"5683","13.293923","192.168.2.103","157.240.26.49","TCP","1394","[TCP Retransmission] 2169  >  443 [ACK] Seq=1780 Ack=3700 Win=65536 Len=1240 [TCP PDU reassembled in 5686]"
"5684","13.293927","192.168.2.103","157.240.26.49","TCP","1394","[TCP Retransmission] 2169  >  443 [ACK] Seq=3020 Ack=3700 Win=65536 Len=1240 [TCP PDU reassembled in 5686]"
"5687","13.293937","192.168.2.103","157.240.26.49","TCP","1221","[TCP Retransmission] 2169  >  443 [PSH, ACK] Seq=6740 Ack=3700 Win=65536 Len=1067 [TCP PDU reassembled in 5686]"
"5688","13.293940","192.168.2.103","157.240.26.49","TCP","192","[TCP Retransmission] 2169  >  443 [PSH, ACK] Seq=7807 Ack=3700 Win=65536 Len=38"
"5847","13.347380","192.168.2.103","157.240.26.49","TCP","1394","[TCP Retransmission] 2169  >  443 [ACK] Seq=7887 Ack=6878 Win=65536 Len=1240"
"5848","13.347383","192.168.2.103","157.240.26.49","TCP","1394","[TCP Retransmission] 2169  >  443 [ACK] Seq=9127 Ack=6878 Win=65536 Len=1240 [TCP PDU reassembled in 5843]"
"5849","13.347390","192.168.2.103","157.240.26.49","TCP","1394","[TCP Retransmission] 2169  >  443 [ACK] Seq=12847 Ack=6878 Win=65536 Len=1240 [TCP PDU reassembled in 5843]"
"5853","13.348149","192.168.2.103","157.240.26.49","TCP","1394","[TCP Retransmission] 2169  >  443 [ACK] Seq=7887 Ack=6878 Win=65536 Len=1240"
"5854","13.348157","192.168.2.103","157.240.26.49","TCP","1394","[TCP Retransmission] 2169  >  443 [ACK] Seq=9127 Ack=6878 Win=65536 Len=1240 [TCP PDU reassembled in 5843]"
"5863","13.350346","192.168.2.103","157.240.26.49","TCP","1386","[TCP Retransmission] 2169  >  443 [ACK] Seq=9127 Ack=6878 Win=65536 Len=1240 [TCP PDU reassembled in 5843]"
"5908","13.402663","192.168.2.103","157.240.26.49","TCP","1394","[TCP Retransmission] 2169  >  443 [ACK] Seq=20131 Ack=9763 Win=65536 Len=1240 [TCP PDU reassembled in 5909]"
"6040","13.809445","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 2030  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"6124","14.176445","192.168.2.103","157.240.26.49","TCP","218","[TCP Retransmission] 2174  >  443 [PSH, ACK] Seq=518 Ack=3628 Win=65536 Len=64"
"6125","14.176457","192.168.2.103","157.240.26.49","TCP","240","[TCP Retransmission] 2174  >  443 [PSH, ACK] Seq=582 Ack=3628 Win=65536 Len=86"
"6126","14.176462","192.168.2.103","157.240.26.49","TCP","653","[TCP Retransmission] 2174  >  443 [PSH, ACK] Seq=668 Ack=3628 Win=65536 Len=499"
"6130","14.176706","192.168.2.103","157.240.26.49","TCP","232","[TCP Retransmission] 2174  >  443 [PSH, ACK] Seq=582 Ack=3628 Win=65536 Len=86"
"6275","15.777175","157.240.26.49","192.168.2.103","TCP","1386","[TCP Retransmission] 443  >  2174 [ACK] Seq=6090 Ack=3976 Win=301 Len=1240"
"6426","15.815998","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2174 [PSH, ACK] Seq=31184 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6450]"
"6427","15.816003","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2174 [ACK] Seq=34904 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6450]"
"6457","15.823039","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2174 [ACK] Seq=37384 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6450]"
"6458","15.823043","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2174 [ACK] Seq=43584 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6454]"
"6596","15.871557","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  2174 [PSH, ACK] Seq=72104 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6597]"
"6641","15.893700","157.240.26.49","192.168.2.103","TCP","1386","[TCP Retransmission] 443  >  2174 [ACK] Seq=79544 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6803]"
"6672","15.916122","157.240.26.49","192.168.2.103","TCP","1386","[TCP Retransmission] 443  >  2174 [ACK] Seq=79544 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6803]"
"6771","16.094687","157.240.26.49","192.168.2.103","TCP","1390","[TCP Retransmission] 443  >  2174 [PSH, ACK] Seq=85744 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6803]"
"6807","16.223111","192.168.2.103","157.240.26.49","TCP","225","[TCP Retransmission] 2030  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"6815","16.223532","192.168.2.103","157.240.26.49","TCP","225","[TCP Retransmission] 2030  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"6864","16.364800","157.240.26.49","192.168.2.103","TCP","1390","[TCP Retransmission] 443  >  2174 [ACK] Seq=90704 Ack=3976 Win=301 Len=1240 [TCP PDU reassembled in 6839]"
"7009","16.808031","157.240.26.49","192.168.2.103","TCP","646","[TCP Retransmission] 443  >  2174 [PSH, ACK] Seq=100624 Ack=3976 Win=301 Len=496 [TCP PDU reassembled in 7000]"
