"No.","Time","Source","Destination","Protocol","Length","Info"
"255","6.945923","192.168.2.103","224.0.0.251","MDNS","175","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"266","6.947106","192.168.2.103","224.0.0.251","MDNS","371","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"280","7.263592","192.168.2.103","224.0.0.251","MDNS","186","Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question"
"285","7.263827","192.168.2.103","224.0.0.251","MDNS","186","Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question"
"290","7.264157","192.168.2.103","224.0.0.251","MDNS","366","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"309","7.949120","192.168.2.103","224.0.0.251","MDNS","183","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"318","7.949800","192.168.2.103","224.0.0.251","MDNS","363","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"331","8.268933","192.168.2.103","224.0.0.251","MDNS","186","Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question"
"337","8.269233","192.168.2.103","224.0.0.251","MDNS","366","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"341","8.269743","192.168.2.103","224.0.0.251","MDNS","178","Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question"
"405","9.959356","192.168.2.103","224.0.0.251","MDNS","183","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"411","9.964874","192.168.2.103","224.0.0.251","MDNS","371","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"424","10.280354","192.168.2.103","224.0.0.251","MDNS","186","Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question"
"427","10.280379","192.168.2.103","224.0.0.251","MDNS","374","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"431","10.280641","192.168.2.103","224.0.0.251","MDNS","186","Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question"
"432","10.280846","192.168.2.103","224.0.0.251","MDNS","374","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"447","11.103641","192.168.2.103","157.240.26.49","TCP","147","1190  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1 [TCP PDU reassembled in 508]"
"450","11.103914","192.168.2.103","157.240.26.49","TCP","147","[TCP Keep-Alive] 1190  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"452","11.113068","157.240.26.49","192.168.2.103","TCP","158","443  >  1190 [ACK] Seq=1 Ack=2 Win=281 Len=0 SLE=1 SRE=2"
"478","12.492086","192.168.2.103","23.192.220.4","TCP","147","1191  >  443 [ACK] Seq=1 Ack=1 Win=517 Len=1"
"481","12.500473","23.192.220.4","192.168.2.103","TCP","158","443  >  1191 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"497","13.241796","192.168.2.103","157.240.26.49","TLSv1.2","412","Application Data"
"500","13.254305","157.240.26.49","192.168.2.103","TCP","146","443  >  1189 [ACK] Seq=1 Ack=267 Win=269 Len=0"
"502","13.254515","157.240.26.49","192.168.2.103","TLSv1.2","181","Application Data"
"508","13.299449","192.168.2.103","157.240.26.49","TLSv1.2","229","Ignored Unknown Record"
"509","13.299456","192.168.2.103","157.240.26.49","TLSv1.2","193","Application Data"
"510","13.299462","192.168.2.103","157.240.26.49","TLSv1.2","526","Application Data"
"514","13.299707","192.168.2.103","157.240.26.49","TCP","146","1189  >  443 [ACK] Seq=267 Ack=36 Win=252 Len=0"
"516","13.307816","157.240.26.49","192.168.2.103","TCP","146","443  >  1190 [ACK] Seq=1 Ack=77 Win=281 Len=0"
"518","13.308291","157.240.26.49","192.168.2.103","TLSv1.2","189","Application Data"
"519","13.308303","157.240.26.49","192.168.2.103","TCP","154","443  >  1190 [ACK] Seq=36 Ack=488 Win=287 Len=0"
"521","13.308920","157.240.26.49","192.168.2.103","TLSv1.2","185","Application Data"
"525","13.309704","192.168.2.103","157.240.26.49","TCP","146","1190  >  443 [ACK] Seq=488 Ack=75 Win=252 Len=0"
"529","13.376208","157.240.26.49","192.168.2.103","TLSv1.2","337","Application Data"
