"No.","Time","Source","Destination","Protocol","Length","Info"
"607","14.944855","192.168.2.103","23.192.220.4","TCP","146","[TCP Previous segment not captured] 1191  >  443 [ACK] Seq=169 Ack=7740 Win=519 Len=0"
"645","14.957914","23.192.220.4","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1191 [ACK] Seq=39026 Ack=169 Win=501 Len=1240 [TCP PDU reassembled in 670]"
"933","15.365182","157.240.26.49","192.168.2.103","TCP","1386","[TCP Previous segment not captured] 443  >  1222 [ACK] Seq=12929 Ack=29691 Win=131840 Len=1240 [TCP PDU reassembled in 936]"
"1021","16.047201","192.168.2.103","157.240.26.49","TCP","1214","[TCP Previous segment not captured] 1222  >  443 [PSH, ACK] Seq=50495 Ack=21769 Win=256 Len=1060 [TCP PDU reassembled in 1028]"
"1350","18.025885","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1225 [ACK] Seq=69599 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1372]"
"2074","20.244679","34.36.199.114","192.168.2.103","TCP","154","[TCP Previous segment not captured] 443  >  1232 [ACK] Seq=1166 Ack=1612 Win=268288 Len=0"
"2447","20.351766","34.36.199.114","192.168.2.103","TCP","154","[TCP Previous segment not captured] 443  >  1232 [ACK] Seq=1922 Ack=2969 Win=267264 Len=0"
"3136","28.717113","142.250.191.170","192.168.2.103","TCP","158","[TCP Previous segment not captured] 443  >  1246 [ACK] Seq=5323 Ack=2362 Win=268032 Len=0 SLE=3602 SRE=4295"
"3798","42.449668","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [PSH, ACK] Seq=156647 Ack=1003 Win=269056 Len=1240"
"3803","42.449688","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [ACK] Seq=162847 Ack=1003 Win=269056 Len=1240"
"4149","42.517382","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [ACK] Seq=409607 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 4201]"
"4162","42.517432","142.250.191.170","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1251 [ACK] Seq=425727 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 4201]"
