"No.","Time","Source","Destination","Protocol","Length","Info"
"595","14.942052","23.192.220.4","192.168.2.103","TCP","185","[TCP Retransmission] 443  >  1191 [PSH, ACK] Seq=1 Ack=169 Win=501 Len=39"
"623","14.952531","23.192.220.4","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1191 [ACK] Seq=12700 Ack=169 Win=501 Len=1240 [TCP PDU reassembled in 616]"
"624","14.952540","23.192.220.4","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1191 [ACK] Seq=13940 Ack=169 Win=501 Len=1240 [TCP PDU reassembled in 616]"
"652","14.959780","23.192.220.4","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1191 [ACK] Seq=39026 Ack=169 Win=501 Len=1240 [TCP PDU reassembled in 670]"
"658","14.962671","23.192.220.4","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1191 [PSH, ACK] Seq=32826 Ack=169 Win=501 Len=1240"
"659","14.962680","23.192.220.4","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1191 [ACK] Seq=34066 Ack=169 Win=501 Len=1240 [TCP PDU reassembled in 638]"
"660","14.962684","23.192.220.4","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1191 [ACK] Seq=35306 Ack=169 Win=501 Len=1240 [TCP PDU reassembled in 639]"
"673","14.965044","23.192.220.4","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1191 [ACK] Seq=52666 Ack=169 Win=501 Len=1240 [TCP PDU reassembled in 685]"
"693","14.966569","23.192.220.4","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1191 [ACK] Seq=62586 Ack=169 Win=501 Len=1240 [TCP PDU reassembled in 685]"
"694","14.966578","23.192.220.4","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1191 [ACK] Seq=63826 Ack=169 Win=501 Len=1240 [TCP PDU reassembled in 685]"
"695","14.966582","23.192.220.4","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1191 [ACK] Seq=65066 Ack=169 Win=501 Len=1240 [TCP PDU reassembled in 685]"
"697","14.966590","23.192.220.4","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1191 [PSH, ACK] Seq=67546 Ack=169 Win=501 Len=1240"
"698","14.966594","23.192.220.4","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1191 [ACK] Seq=68786 Ack=169 Win=501 Len=1240 [TCP PDU reassembled in 687]"
"699","14.966598","23.192.220.4","192.168.2.103","TCP","314","[TCP Retransmission] 443  >  1191 [PSH, ACK] Seq=70026 Ack=169 Win=501 Len=160 [TCP PDU reassembled in 687]"
"715","14.969729","23.192.220.4","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1191 [ACK] Seq=66306 Ack=169 Win=501 Len=1240 [TCP PDU reassembled in 685]"
"716","14.969735","23.192.220.4","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1191 [PSH, ACK] Seq=67546 Ack=169 Win=501 Len=1240"
