"No.","Time","Source","Destination","Protocol","Length","Info"
"734","22.356275","157.240.26.49","192.168.2.103","TCP","146","[TCP Dup ACK 730#1] 443  >  1552 [ACK] Seq=1067 Ack=1695 Win=70144 Len=0"
"738","22.356814","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 733#1] 1552  >  443 [ACK] Seq=1695 Ack=1067 Win=64512 Len=0"
"765","22.608174","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 762#1] 1551  >  443 [ACK] Seq=1052 Ack=1158 Win=64512 Len=0"
"808","23.840764","192.168.2.103","23.192.220.16","TCP","146","[TCP Dup ACK 804#1] 1553  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"856","23.878953","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=2144 Ack=1127 Win=64128 Len=1240 [TCP PDU reassembled in 886]"
"857","23.878960","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [PSH, ACK] Seq=3384 Ack=1127 Win=64128 Len=1240 [TCP PDU reassembled in 886]"
"860","23.878971","23.192.220.16","192.168.2.103","TCP","1394","443  >  1553 [PSH, ACK] Seq=7104 Ack=1127 Win=64128 Len=1240 [TCP PDU reassembled in 886]"
"861","23.878975","23.192.220.16","192.168.2.103","TCP","1394","443  >  1553 [ACK] Seq=8344 Ack=1127 Win=64128 Len=1240 [TCP PDU reassembled in 886]"
"862","23.878978","23.192.220.16","192.168.2.103","TCP","1394","443  >  1553 [ACK] Seq=9584 Ack=1127 Win=64128 Len=1240 [TCP PDU reassembled in 886]"
"919","23.900932","23.192.220.16","192.168.2.103","TCP","1386","[TCP Out-Of-Order] 443  >  1553 [PSH, ACK] Seq=21984 Ack=1127 Win=64128 Len=1240 [TCP PDU reassembled in 945]"
"921","23.903453","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=23224 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 945]"
"922","23.903465","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=24464 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 945]"
"923","23.903469","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [PSH, ACK] Seq=25704 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 945]"
"924","23.903473","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=26944 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 945]"
"925","23.903476","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=28184 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 945]"
"926","23.903480","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [PSH, ACK] Seq=29424 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 945]"
"927","23.903483","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=30664 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 945]"
"928","23.903487","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=31904 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 945]"
"945","23.909156","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [PSH, ACK] Seq=33144 Ack=1158 Win=64128 Len=1240"
"965","23.913906","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=34384 Ack=1158 Win=64128 Len=1240"
"966","23.913911","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=35624 Ack=1158 Win=64128 Len=1240"
"967","23.913916","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [PSH, ACK] Seq=36864 Ack=1158 Win=64128 Len=1240"
"968","23.913920","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=38104 Ack=1158 Win=64128 Len=1240"
"975","23.915846","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=39344 Ack=1158 Win=64128 Len=1240"
"976","23.915851","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [PSH, ACK] Seq=40584 Ack=1158 Win=64128 Len=1240"
"977","23.915855","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=41824 Ack=1158 Win=64128 Len=1240"
"978","23.915861","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=48024 Ack=1158 Win=64128 Len=1240"
"979","23.915866","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=49264 Ack=1158 Win=64128 Len=1240"
"981","23.915872","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=51744 Ack=1158 Win=64128 Len=1240"
"982","23.915875","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [ACK] Seq=52984 Ack=1158 Win=64128 Len=1240"
"988","23.917109","23.192.220.16","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1553 [PSH, ACK] Seq=54224 Ack=1158 Win=64128 Len=1240"
"1146","24.107053","157.240.26.49","192.168.2.103","TCP","1386","443  >  1554 [PSH, ACK] Seq=11055 Ack=22410 Win=111360 Len=1240 [TCP PDU reassembled in 1148]"
"1465","26.088433","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 1462#1] 1557  >  443 [ACK] Seq=3976 Ack=13590 Win=65536 Len=0"
"1468","26.089838","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 1462#2] 1557  >  443 [ACK] Seq=3976 Ack=13590 Win=65536 Len=0"
"1498","26.097881","157.240.26.49","192.168.2.103","TCP","1386","443  >  1557 [PSH, ACK] Seq=27230 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1519]"
"1528","26.108015","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1557 [PSH, ACK] Seq=42110 Ack=3976 Win=77056 Len=1240"
"1533","26.108236","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 1527#1] 1557  >  443 [ACK] Seq=3976 Ack=42110 Win=65536 Len=0"
"1588","26.127875","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 1584#1] 1557  >  443 [ACK] Seq=3976 Ack=61950 Win=65536 Len=0"
"1590","26.130368","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1557 [PSH, ACK] Seq=61950 Ack=3976 Win=77056 Len=1240"
"1603","26.136319","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1557 [ACK] Seq=81790 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1648]"
"1604","26.136324","157.240.26.49","192.168.2.103","TCP","1394","443  >  1557 [ACK] Seq=83030 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1648]"
