"No.","Time","Source","Destination","Protocol","Length","Info"
"593","22.111909","192.168.2.103","157.240.26.49","TCP","146","[TCP Previous segment not captured] 1346  >  443 [FIN, ACK] Seq=72 Ack=1 Win=251 Len=0"
"850","23.877477","23.192.220.16","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1553 [ACK] Seq=4624 Ack=1127 Win=64128 Len=1240 [TCP PDU reassembled in 886]"
"1603","26.136319","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1557 [ACK] Seq=81790 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1648]"
"1687","26.563565","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1557 [ACK] Seq=115061 Ack=3976 Win=77056 Len=1240"
"1691","26.564730","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1557 [ACK] Seq=120264 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1692]"
"1713","26.569934","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1557 [PSH, ACK] Seq=127986 Ack=3976 Win=77056 Len=1240"
"1732","26.574955","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1557 [PSH, ACK] Seq=135426 Ack=3976 Win=77056 Len=1240"
"1747","26.576950","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1557 [ACK] Seq=147826 Ack=3976 Win=77056 Len=1240"
"2264","32.643688","34.36.199.114","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  1564 [ACK] Seq=220 Ack=1046 Win=268800 Len=0"
"2266","32.644088","34.36.199.114","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  1568 [ACK] Seq=220 Ack=1046 Win=268800 Len=0"
"2283","32.648175","34.36.199.114","192.168.2.103","TCP","154","[TCP Previous segment not captured] 443  >  1563 [ACK] Seq=220 Ack=1046 Win=268800 Len=0"
"2519","32.750189","34.36.199.114","192.168.2.103","TCP","154","[TCP Previous segment not captured] 443  >  1563 [ACK] Seq=1475 Ack=1977 Win=268032 Len=0"
"2611","32.782796","34.36.199.114","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  1572 [ACK] Seq=1552 Ack=2304 Win=267776 Len=0"
"2640","32.792192","34.36.199.114","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  1565 [ACK] Seq=1753 Ack=2580 Win=267520 Len=0"
"3953","53.626835","20.190.157.1","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1587 [ACK] Seq=17647 Ack=7423 Win=16386 Len=1240"
"4618","54.867281","142.251.32.10","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1589 [ACK] Seq=177645 Ack=1003 Win=269056 Len=1240"
"4642","54.876004","142.251.32.10","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1589 [ACK] Seq=183845 Ack=1003 Win=269056 Len=1240"
"4645","54.877661","142.251.32.10","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1589 [ACK] Seq=191285 Ack=1003 Win=269056 Len=1240"
"4648","54.877674","142.251.32.10","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1589 [ACK] Seq=195005 Ack=1003 Win=269056 Len=1240"
"4667","54.885287","142.251.32.10","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1589 [ACK] Seq=201205 Ack=1003 Win=269056 Len=1240"
"4672","54.885307","142.251.32.10","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1589 [ACK] Seq=207405 Ack=1003 Win=269056 Len=1240"
"4721","54.893349","142.251.32.10","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1589 [ACK] Seq=235925 Ack=1003 Win=269056 Len=1240"
"4732","54.895542","142.251.32.10","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1589 [ACK] Seq=240885 Ack=1003 Win=269056 Len=1240"
"4740","54.897574","142.251.32.10","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1589 [ACK] Seq=245845 Ack=1003 Win=269056 Len=1240"
"4746","54.897595","142.251.32.10","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1589 [ACK] Seq=253285 Ack=1003 Win=269056 Len=1240"
