"No.","Time","Source","Destination","Protocol","Length","Info"
"589","22.110969","192.168.2.103","157.240.26.49","TCP","193","[TCP Retransmission] 1346  >  443 [PSH, ACK] Seq=1 Ack=1 Win=251 Len=47"
"638","22.256127","192.168.2.103","157.240.26.49","TCP","498","[TCP Retransmission] 1551  >  443 [PSH, ACK] Seq=669 Ack=213 Win=65280 Len=352"
"669","22.275116","192.168.2.103","157.240.26.49","TCP","899","[TCP Retransmission] 1552  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=745"
"673","22.275942","192.168.2.103","157.240.26.49","TCP","899","[TCP Retransmission] 1552  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=745"
"687","22.295042","192.168.2.103","157.240.26.49","TCP","218","[TCP Retransmission] 1552  >  443 [PSH, ACK] Seq=746 Ack=758 Win=64768 Len=64"
"688","22.295046","192.168.2.103","157.240.26.49","TCP","246","[TCP Retransmission] 1552  >  443 [PSH, ACK] Seq=810 Ack=758 Win=64768 Len=92"
"694","22.295936","192.168.2.103","157.240.26.49","TCP","218","[TCP Retransmission] 1552  >  443 [PSH, ACK] Seq=746 Ack=758 Win=64768 Len=64"
"695","22.295940","192.168.2.103","157.240.26.49","TCP","246","[TCP Retransmission] 1552  >  443 [PSH, ACK] Seq=810 Ack=758 Win=64768 Len=92"
"696","22.295945","192.168.2.103","157.240.26.49","TCP","544","[TCP Retransmission] 1552  >  443 [PSH, ACK] Seq=902 Ack=758 Win=64768 Len=390"
"697","22.295948","192.168.2.103","157.240.26.49","TCP","526","[TCP Retransmission] 1552  >  443 [PSH, ACK] Seq=1292 Ack=758 Win=64768 Len=372"
"701","22.296385","192.168.2.103","157.240.26.49","TCP","536","[TCP Retransmission] 1552  >  443 [PSH, ACK] Seq=902 Ack=758 Win=64768 Len=390"
"717","22.305465","192.168.2.103","157.240.26.49","TCP","185","[TCP Retransmission] 1552  >  443 [PSH, ACK] Seq=1664 Ack=1032 Win=64512 Len=31"
"742","22.369695","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1346  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"769","22.679007","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1346  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"779","23.287938","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1346  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"896","23.896991","23.192.220.16","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1553 [ACK] Seq=20744 Ack=1127 Win=64128 Len=1240 [TCP PDU reassembled in 945]"
"997","23.918318","23.192.220.16","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1553 [PSH, ACK] Seq=69104 Ack=1158 Win=64128 Len=1240"
"1047","23.950294","192.168.2.103","157.240.26.49","TCP","207","[TCP Retransmission] 1554  >  443 [PSH, ACK] Seq=346 Ack=3700 Win=65536 Len=53"
"1048","23.950296","192.168.2.103","157.240.26.49","TCP","210","[TCP Retransmission] 1554  >  443 [PSH, ACK] Seq=399 Ack=3700 Win=65536 Len=56"
"1049","23.950299","192.168.2.103","157.240.26.49","TCP","197","[TCP Retransmission] 1554  >  443 [PSH, ACK] Seq=497 Ack=3700 Win=65536 Len=43"
"1134","24.061005","192.168.2.103","157.240.26.49","TCP","1386","[TCP Retransmission] 1554  >  443 [ACK] Seq=20131 Ack=9773 Win=65536 Len=1240 [TCP PDU reassembled in 1130]"
"1233","24.211297","192.168.2.103","157.240.26.49","TCP","1386","[TCP Retransmission] 1554  >  443 [ACK] Seq=37014 Ack=18886 Win=65536 Len=1240"
"1256","24.495638","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1346  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"1273","24.508664","192.168.2.103","157.240.26.49","TCP","1386","[TCP Retransmission] 1554  >  443 [ACK] Seq=49255 Ack=21760 Win=65536 Len=1240 [TCP PDU reassembled in 1269]"
"1355","24.871941","192.168.2.103","157.240.26.49","TCP","864","[TCP Retransmission] 1557  >  443 [PSH, ACK] Seq=1198 Ack=3937 Win=65280 Len=718"
"1618","26.138267","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1557 [PSH, ACK] Seq=89230 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1648]"
"1619","26.138271","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1557 [ACK] Seq=90470 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1648]"
"1622","26.138284","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1557 [ACK] Seq=94190 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1648]"
"1623","26.138290","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1557 [PSH, ACK] Seq=95430 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1648]"
"1624","26.138294","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1557 [ACK] Seq=96670 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1648]"
"1625","26.138298","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1557 [ACK] Seq=97910 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1648]"
"1682","26.563539","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1557 [ACK] Seq=106381 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1677]"
"1810","26.593840","157.240.26.49","192.168.2.103","TCP","1386","[TCP Retransmission] 443  >  1557 [ACK] Seq=196186 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1807]"
"1831","26.896466","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1346  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"2030","31.710094","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1346  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"2033","31.710108","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1346  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"2036","31.710617","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1346  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=251 Len=71"
"2133","32.583131","192.168.2.103","34.36.199.114","TCP","166","[TCP Retransmission] 1568  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
