"No.","Time","Source","Destination","Protocol","Length","Info"
"15","0.139146","192.168.2.103","224.0.0.251","MDNS","178","Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question"
"18","0.139599","192.168.2.103","224.0.0.251","MDNS","178","Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question"
"24","0.140075","192.168.2.103","224.0.0.251","MDNS","374","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"90","1.453445","192.168.2.103","157.240.26.11","TLSv1.2","177","Application Data"
"94","1.469421","192.168.2.103","157.240.26.11","TLSv1.2","177","Application Data"
"97","1.484161","157.240.26.11","192.168.2.103","TLSv1.2","177","Application Data"
"100","1.502109","157.240.26.11","192.168.2.103","TLSv1.2","177","Application Data"
"105","1.531505","192.168.2.103","157.240.26.11","TCP","146","1084  >  443 [ACK] Seq=32 Ack=32 Win=258 Len=0"
"112","1.547612","192.168.2.103","157.240.26.11","TCP","146","1085  >  443 [ACK] Seq=32 Ack=32 Win=256 Len=0"
"219","3.856259","192.168.2.103","224.0.0.251","MDNS","175","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"232","3.857977","192.168.2.103","224.0.0.251","MDNS","371","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"236","3.858529","192.168.2.103","224.0.0.251","MDNS","371","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"249","4.148746","192.168.2.103","224.0.0.251","MDNS","178","Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question"
"261","4.149861","192.168.2.103","224.0.0.251","MDNS","374","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"387","11.830044","192.168.2.103","224.0.0.251","MDNS","183","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"393","11.847356","192.168.2.103","224.0.0.251","MDNS","371","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"397","11.847659","192.168.2.103","224.0.0.251","MDNS","371","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"404","12.122376","192.168.2.103","224.0.0.251","MDNS","186","Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question"
"413","12.123080","192.168.2.103","224.0.0.251","MDNS","366","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"421","12.633995","192.168.2.103","34.107.172.168","TLSv1.2","1347","Application Data"
"423","12.662521","34.107.172.168","192.168.2.103","TCP","146","443  >  1282 [ACK] Seq=1 Ack=1202 Win=1011 Len=0"
"427","12.685618","34.107.172.168","192.168.2.103","TLSv1.2","330","Application Data"
"431","12.742710","192.168.2.103","34.107.172.168","TCP","146","1282  >  443 [ACK] Seq=1202 Ack=185 Win=251 Len=0"
"434","12.743094","192.168.2.103","34.107.172.168","TCP","146","[TCP Dup ACK 431#1] 1282  >  443 [ACK] Seq=1202 Ack=185 Win=251 Len=0"
"440","12.833782","192.168.2.103","224.0.0.251","MDNS","183","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"446","12.834070","192.168.2.103","224.0.0.251","MDNS","363","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"454","13.133966","192.168.2.103","224.0.0.251","MDNS","186","Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question"
"457","13.134001","192.168.2.103","224.0.0.251","MDNS","374","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"477","14.837222","192.168.2.103","224.0.0.251","MDNS","175","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"480","14.837478","192.168.2.103","224.0.0.251","MDNS","175","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"489","14.846908","192.168.2.103","224.0.0.251","MDNS","371","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"493","14.899781","192.168.2.103","157.240.26.49","TLSv1.2","201","Application Data"
"494","14.899787","192.168.2.103","157.240.26.49","TLSv1.2","178","Application Data"
"498","14.900684","192.168.2.103","157.240.26.49","TCP","146","1189  >  443 [FIN, ACK] Seq=72 Ack=1 Win=256 Len=0"
"502","14.901520","192.168.2.103","192.168.2.1","DNS","168","Standard query 0x326e A graph.oculus.com"
"506","14.953976","192.168.2.103","192.168.2.1","DNS","176","Standard query 0xfa7a A graph.oculus.com"
"507","14.953982","192.168.2.103","192.168.2.1","DNS","176","Standard query 0xf0ab HTTPS graph.oculus.com"
"510","14.988678","192.168.2.1","192.168.2.103","DNS","219","Standard query response 0x326e A graph.oculus.com CNAME oculus.c10r.facebook.com A 157.240.26.49"
"514","14.990434","192.168.2.103","157.240.26.49","TCP","158","1346  >  443 [SYN] Seq=0 Win=64480 Len=0 MSS=1460 WS=256 SACK_PERM"
"516","15.022510","157.240.26.49","192.168.2.103","TCP","158","443  >  1346 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"519","15.023593","192.168.2.103","157.240.26.49","TCP","154","1346  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"520","15.023601","192.168.2.103","157.240.26.49","TLSv1.2","672","Client Hello (SNI=graph.oculus.com)"
"522","15.024003","192.168.2.1","192.168.2.103","DNS","219","Standard query response 0xfa7a A graph.oculus.com CNAME oculus.c10r.facebook.com A 157.240.26.49"
"526","15.036763","192.168.2.103","157.240.26.49","TLSv1.2","210","[TCP ACKed unseen segment] , Change Cipher Spec, Application Data"
"530","15.037039","192.168.2.103","157.240.26.49","TLSv1.2","240","Application Data"
