"No.","Time","Source","Destination","Protocol","Length","Info"
"112","1.547612","192.168.2.103","157.240.26.11","TCP","146","1085  >  443 [ACK] Seq=32 Ack=32 Win=256 Len=0"
"434","12.743094","192.168.2.103","34.107.172.168","TCP","146","[TCP Dup ACK 431#1] 1282  >  443 [ACK] Seq=1202 Ack=185 Win=251 Len=0"
"585","15.086296","157.240.26.49","192.168.2.103","TCP","154","443  >  1347 [ACK] Seq=758 Ack=1696 Win=70400 Len=0"
"632","15.161661","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 629#1] 1347  >  443 [ACK] Seq=1727 Ack=1642 Win=65536 Len=0"
"675","16.635069","192.168.2.103","23.192.220.4","TCP","146","[TCP Dup ACK 672#1] 1348  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"682","16.647828","23.192.220.4","192.168.2.103","TCP","146","[TCP Dup ACK 681#1] 443  >  1348 [ACK] Seq=1 Ack=622 Win=64128 Len=0"
"731","16.664740","23.192.220.4","192.168.2.103","TCP","1386","[TCP Out-Of-Order] 443  >  1348 [PSH, ACK] Seq=3384 Ack=1127 Win=64128 Len=1240"
"733","16.666401","23.192.220.4","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1348 [ACK] Seq=4624 Ack=1127 Win=64128 Len=1240"
"735","16.666417","23.192.220.4","192.168.2.103","TCP","1394","443  >  1348 [PSH, ACK] Seq=7104 Ack=1127 Win=64128 Len=1240"
"736","16.666421","23.192.220.4","192.168.2.103","TCP","1394","443  >  1348 [ACK] Seq=8344 Ack=1127 Win=64128 Len=1240"
"737","16.666430","23.192.220.4","192.168.2.103","TCP","1394","443  >  1348 [ACK] Seq=9584 Ack=1127 Win=64128 Len=1240"
"740","16.666442","23.192.220.4","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1348 [ACK] Seq=13304 Ack=1127 Win=64128 Len=1240"
"743","16.667007","23.192.220.4","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1348 [PSH, ACK] Seq=10824 Ack=1127 Win=64128 Len=1240"
"748","16.667810","23.192.220.4","192.168.2.103","TCP","1386","443  >  1348 [PSH, ACK] Seq=14544 Ack=1127 Win=64128 Len=1240"
"776","16.674537","23.192.220.4","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1348 [PSH, ACK] Seq=21984 Ack=1127 Win=64128 Len=1240"
"777","16.674541","23.192.220.4","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1348 [ACK] Seq=23224 Ack=1158 Win=64128 Len=1240"
"815","16.681727","192.168.2.103","23.192.220.4","TCP","146","[TCP Dup ACK 808#1] 1348  >  443 [ACK] Seq=1158 Ack=38104 Win=66304 Len=0"
"838","16.688085","23.192.220.4","192.168.2.103","TCP","1394","443  >  1348 [ACK] Seq=52984 Ack=1158 Win=64128 Len=1240"
"851","16.689707","23.192.220.4","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1348 [ACK] Seq=55464 Ack=1158 Win=64128 Len=1240"
"950","16.810897","157.240.26.49","192.168.2.103","TCP","1386","443  >  1349 [ACK] Seq=6924 Ack=15129 Win=96512 Len=1240 [TCP PDU reassembled in 953]"
"1106","16.977895","157.240.26.49","192.168.2.103","TCP","1386","443  >  1349 [ACK] Seq=15771 Ack=36972 Win=141056 Len=1240 [TCP PDU reassembled in 1109]"
"1153","17.091487","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 1148#1] 1349  >  443 [ACK] Seq=44253 Ack=21719 Win=65536 Len=0"
"1304","17.878407","157.240.26.49","192.168.2.103","TCP","146","[TCP Dup ACK 1303#1] 443  >  1352 [ACK] Seq=4960 Ack=3976 Win=77056 Len=0"
"1307","17.878644","157.240.26.49","192.168.2.103","TCP","146","[TCP Dup ACK 1303#2] 443  >  1352 [ACK] Seq=4960 Ack=3976 Win=77056 Len=0"
"1399","19.256794","157.240.26.49","192.168.2.103","TCP","1386","443  >  1352 [PSH, ACK] Seq=13596 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1429]"
"1406","19.257547","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 1403#1] 1352  >  443 [ACK] Seq=3976 Ack=14836 Win=65536 Len=0"
"1510","19.282942","157.240.26.49","192.168.2.103","TCP","1394","443  >  1352 [PSH, ACK] Seq=46733 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1557]"
"1511","19.282946","157.240.26.49","192.168.2.103","TCP","1394","443  >  1352 [ACK] Seq=47973 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1557]"
"1512","19.282950","157.240.26.49","192.168.2.103","TCP","1394","443  >  1352 [ACK] Seq=49213 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1557]"
"1513","19.282955","157.240.26.49","192.168.2.103","TCP","1394","443  >  1352 [PSH, ACK] Seq=50453 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1557]"
"1516","19.283165","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 1501#1] 1352  >  443 [ACK] Seq=3976 Ack=38396 Win=65536 Len=0"
"1554","19.291218","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1352 [ACK] Seq=51693 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1557]"
"1555","19.291223","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1352 [ACK] Seq=52933 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1557]"
"1556","19.291227","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1352 [PSH, ACK] Seq=54173 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1557]"
"1557","19.291231","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1352 [ACK] Seq=55413 Ack=3976 Win=77056 Len=1240"
"1558","19.291236","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1352 [ACK] Seq=56653 Ack=3976 Win=77056 Len=1240"
"1602","19.303239","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1352 [ACK] Seq=78433 Ack=3976 Win=77056 Len=1240"
"1603","19.303243","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1352 [ACK] Seq=82153 Ack=3976 Win=77056 Len=1240"
"1604","19.303247","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1352 [ACK] Seq=83393 Ack=3976 Win=77056 Len=1240"
"1650","19.427989","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 1646#1] 1352  >  443 [ACK] Seq=3976 Ack=108615 Win=65536 Len=0"
"1701","19.441082","157.240.26.49","192.168.2.103","TCP","1394","443  >  1352 [ACK] Seq=150628 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1702]"
"1718","19.447561","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1352 [ACK] Seq=138171 Ack=3976 Win=77056 Len=1240"
"1719","19.447565","157.240.26.49","192.168.2.103","TCP","1394","443  >  1352 [ACK] Seq=152181 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1724]"
"1725","19.449297","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1352 [ACK] Seq=157141 Ack=3976 Win=77056 Len=1240"
"1730","19.449319","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1352 [ACK] Seq=136931 Ack=3976 Win=77056 Len=1240"
"1760","19.457906","157.240.26.49","192.168.2.103","TCP","1394","443  >  1352 [ACK] Seq=180351 Ack=3976 Win=77056 Len=1240"
"1761","19.457911","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1352 [ACK] Seq=170431 Ack=3976 Win=77056 Len=1240"
"1767","19.459853","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  1352 [ACK] Seq=171671 Ack=3976 Win=77056 Len=1240"
"1805","19.465579","192.168.2.103","157.240.26.49","TCP","146","1352  >  443 [ACK] Seq=3976 Ack=196471 Win=65536 Len=0"
"1807","19.465957","157.240.26.49","192.168.2.103","TCP","1386","[TCP Out-Of-Order] 443  >  1352 [ACK] Seq=196471 Ack=3976 Win=77056 Len=1240"
"1947","22.341988","34.36.199.114","192.168.2.103","TCP","166","443  >  1359 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
