"No.","Time","Source","Destination","Protocol","Length","Info"
"533","15.045554","157.240.26.49","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  1346 [ACK] Seq=213 Ack=1021 Win=67840 Len=0"
"722","16.663801","23.192.220.4","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1348 [ACK] Seq=5864 Ack=1127 Win=64128 Len=1240"
"740","16.666442","23.192.220.4","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1348 [ACK] Seq=13304 Ack=1127 Win=64128 Len=1240"
"770","16.673383","23.192.220.4","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1348 [ACK] Seq=24464 Ack=1158 Win=64128 Len=1240"
"840","16.688093","23.192.220.4","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1348 [ACK] Seq=56704 Ack=1158 Win=64128 Len=1240"
"1129","16.989643","157.240.26.49","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  1349 [ACK] Seq=18841 Ack=38254 Win=143616 Len=0"
"1584","19.299240","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1352 [ACK] Seq=80913 Ack=3976 Win=77056 Len=1240"
"1591","19.301202","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1352 [ACK] Seq=84633 Ack=3976 Win=77056 Len=1240"
"1641","19.425372","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1352 [ACK] Seq=107375 Ack=3976 Win=77056 Len=1240"
"1725","19.449297","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1352 [ACK] Seq=157141 Ack=3976 Win=77056 Len=1240"
"1755","19.457886","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1352 [ACK] Seq=174151 Ack=3976 Win=77056 Len=1240"
"2258","22.456919","34.36.199.114","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  1364 [ACK] Seq=1166 Ack=1634 Win=268288 Len=0"
"2269","22.459516","34.36.199.114","192.168.2.103","TCP","154","[TCP Previous segment not captured] 443  >  1365 [ACK] Seq=1166 Ack=1627 Win=268288 Len=0"
"2270","22.459519","34.36.199.114","192.168.2.103","TCP","154","[TCP Previous segment not captured] 443  >  1362 [ACK] Seq=1166 Ack=1636 Win=268288 Len=0"
"2466","22.516686","34.36.199.114","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  1358 [ACK] Seq=1753 Ack=2571 Win=267520 Len=0"
"2846","24.069806","157.240.26.35","192.168.2.103","TCP","1386","[TCP Previous segment not captured] 443  >  1366 [ACK] Seq=3227 Ack=596 Win=67840 Len=1240 [TCP PDU reassembled in 2848]"
"3541","44.239277","172.217.4.202","192.168.2.103","TCP","146","[TCP ACKed unseen segment] [TCP Previous segment not captured] 443  >  1373 [ACK] Seq=8475 Ack=13960 Win=257280 Len=0"
"3641","45.952217","192.168.2.103","172.217.4.202","TCP","146","[TCP Previous segment not captured] 1373  >  443 [ACK] Seq=13960 Ack=9108 Win=65536 Len=0"
"3733","45.997482","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=58011 Ack=1003 Win=269056 Len=1240"
"3797","46.008618","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=91491 Ack=1003 Win=269056 Len=1240"
"4031","46.061842","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=246491 Ack=1003 Win=269056 Len=1240"
"4100","46.076664","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=291131 Ack=1003 Win=269056 Len=1240"
"4113","46.080601","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=301051 Ack=1003 Win=269056 Len=1240"
"4269","46.115500","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=408931 Ack=1003 Win=269056 Len=1240"
"4271","46.115508","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=412651 Ack=1003 Win=269056 Len=1240"
"4283","46.121206","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=421331 Ack=1003 Win=269056 Len=1240"
"4425","46.151955","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=509371 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 4518]"
"4469","46.159620","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=534171 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 4518]"
"4480","46.165349","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=540371 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 4518]"
"4607","46.193068","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=614771 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 4645]"
"4700","46.213129","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=669331 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 4762]"
"4707","46.215352","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=671811 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 4762]"
"5025","46.283389","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=880131 Ack=1003 Win=269056 Len=1240"
"5041","46.286869","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=893771 Ack=1003 Win=269056 Len=1240"
"5047","46.286892","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=901211 Ack=1003 Win=269056 Len=1240"
"5175","46.314946","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=997931 Ack=1003 Win=269056 Len=1240"
"5195","46.324785","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=1001651 Ack=1003 Win=269056 Len=1240"
"5328","46.354964","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1078531 Ack=1003 Win=269056 Len=1240"
"5357","46.360957","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=1102091 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 5417]"
"5429","46.373062","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1151691 Ack=1003 Win=269056 Len=1240"
"5475","46.381537","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1176491 Ack=1003 Win=269056 Len=1240"
"5537","46.393833","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1218651 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 5615]"
"5557","46.397451","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1228571 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 5615]"
"5576","46.405537","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1240971 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 5615]"
"5579","46.405548","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1244691 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 5615]"
"5595","46.409002","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1250891 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 5615]"
"5767","46.447339","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=1338931 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 5785]"
"5850","46.463361","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1397211 Ack=1003 Win=269056 Len=1240"
"5859","46.465355","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1400931 Ack=1003 Win=269056 Len=1240"
"5863","46.465364","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=1405891 Ack=1003 Win=269056 Len=1240"
"5880","46.469009","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1415811 Ack=1003 Win=269056 Len=1240"
"5934","46.479155","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1445571 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 6000]"
"5968","46.485398","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1462931 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 6000]"
"5988","46.489160","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=1472851 Ack=1003 Win=269056 Len=1240 [TCP PDU reassembled in 6000]"
"6736","56.323905","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1688733 Ack=1577 Win=268544 Len=1240"
"6741","56.327675","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=1696173 Ack=1577 Win=268544 Len=1240"
"6745","56.327691","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=1701133 Ack=1577 Win=268544 Len=1240"
"6800","56.343230","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1724693 Ack=1577 Win=268544 Len=1240"
"6932","56.374338","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1822653 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 6949]"
"6968","56.381167","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=1854893 Ack=1577 Win=268544 Len=1240"
"6972","56.381177","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=1859853 Ack=1577 Win=268544 Len=1240"
"7133","56.418101","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1952853 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 7201]"
"7175","56.427008","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1971453 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 7201]"
"7178","56.427020","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1975173 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 7201]"
"7221","56.439483","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=1996253 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 7298]"
"7381","56.473195","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=2092861 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 7444]"
"7458","56.489469","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=2128821 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 7566]"
"7468","56.491072","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=2132541 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 7566]"
"7808","56.565138","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=2334661 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 7834]"
"7816","56.567437","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=2337141 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 7834]"
"8166","56.637792","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=2569021 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 8231]"
"8170","56.639411","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=2575221 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 8231]"
"8173","56.639423","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=2578941 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 8231]"
"8301","56.667781","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=2645901 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 8310]"
"8534","56.723267","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=2792221 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 8609]"
"8583","56.731507","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=2818261 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 8609]"
"8590","56.733339","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=2823221 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 8609]"
"8705","56.759245","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=2892661 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 8734]"
"8917","56.805699","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=3009221 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 8963]"
"8925","56.807557","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=3015421 Ack=1577 Win=268544 Len=1240 [TCP PDU reassembled in 8963]"
"9129","58.457953","172.217.4.202","192.168.2.103","TCP","158","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=12257 Ack=23625 Win=249344 Len=0 SLE=24865 SRE=25558"
"10128","66.106002","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [PSH, ACK] Seq=3721867 Ack=2151 Win=268032 Len=1240"
"10999","66.336253","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=4472067 Ack=2151 Win=268032 Len=1240 [TCP PDU reassembled in 11013]"
"11496","75.679703","172.217.4.202","192.168.2.103","TCP","158","[TCP Previous segment not captured] 443  >  1378 [ACK] Seq=4591678 Ack=2151 Win=268032 Len=0 SLE=3391 SRE=4084"
"11941","76.164390","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=323512 Ack=37730 Win=237824 Len=1240 [TCP PDU reassembled in 12001]"
"11949","76.166303","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=337152 Ack=37730 Win=237824 Len=1240 [TCP PDU reassembled in 12001]"
"12218","76.211165","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=487192 Ack=37730 Win=237824 Len=1240 [TCP PDU reassembled in 12249]"
"12880","76.341544","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=1017912 Ack=37730 Win=237824 Len=1240 [TCP PDU reassembled in 12935]"
"12913","76.348134","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=1041472 Ack=37730 Win=237824 Len=1240 [TCP PDU reassembled in 12935]"
"12976","76.361929","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=1089832 Ack=37730 Win=237824 Len=1240"
"13008","76.367538","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=1108432 Ack=37730 Win=237824 Len=1240"
"13134","76.395900","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=1186520 Ack=37730 Win=237824 Len=1240 [TCP PDU reassembled in 13170]"
"13322","76.439265","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=1317960 Ack=37730 Win=237824 Len=1240"
"13335","76.442865","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=1320440 Ack=37730 Win=237824 Len=1240"
"13345","76.444609","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=1329120 Ack=37730 Win=237824 Len=1240"
"13361","76.450246","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=1341520 Ack=37730 Win=237824 Len=1240"
"13704","76.514101","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=1577120 Ack=37730 Win=237824 Len=1240 [TCP PDU reassembled in 13724]"
"14122","86.305334","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=1622056 Ack=42170 Win=233728 Len=1240"
"14487","86.385252","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=1889824 Ack=42170 Win=233728 Len=1240"
"14498","86.385285","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=1903464 Ack=42170 Win=233728 Len=1240"
"14507","86.390503","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=1907184 Ack=42170 Win=233728 Len=1240"
"14717","86.423197","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=2096904 Ack=42170 Win=233728 Len=1240 [TCP PDU reassembled in 14765]"
"15096","86.503818","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=2392024 Ack=42170 Win=233728 Len=1240 [TCP PDU reassembled in 15144]"
"15107","86.505882","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [ACK] Seq=2399464 Ack=42170 Win=233728 Len=1240"
"15392","86.566257","172.217.4.202","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  1373 [PSH, ACK] Seq=2610264 Ack=42170 Win=233728 Len=1240 [TCP PDU reassembled in 15436]"
