"No.","Time","Source","Destination","Protocol","Length","Info"
"598","15.130757","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1189  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=256 Len=71"
"638","15.441377","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1189  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=256 Len=71"
"648","16.052268","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1189  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=256 Len=71"
"698","16.650015","192.168.2.103","23.192.220.4","TCP","234","[TCP Retransmission] 1348  >  443 [PSH, ACK] Seq=622 Ack=265 Win=66048 Len=80"
"699","16.650029","192.168.2.103","23.192.220.4","TCP","240","[TCP Retransmission] 1348  >  443 [PSH, ACK] Seq=702 Ack=265 Win=66048 Len=86"
"979","16.817294","157.240.26.49","192.168.2.103","TCP","315","[TCP Retransmission] 443  >  1349 [ACK] Seq=9404 Ack=15129 Win=96512 Len=161 [TCP PDU reassembled in 953]"
"980","16.817297","157.240.26.49","192.168.2.103","TCP","338","[TCP Retransmission] 443  >  1349 [PSH, ACK] Seq=9565 Ack=15129 Win=96512 Len=184"
"1283","17.715315","157.240.26.49","192.168.2.103","TCP","208","[TCP Retransmission] 443  >  1352 [PSH, ACK] Seq=4906 Ack=2902 Win=71168 Len=54"
"1332","18.455750","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1189  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=256 Len=71"
"1450","19.272964","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1352 [PSH, ACK] Seq=28476 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1458]"
"1451","19.272968","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1352 [ACK] Seq=29716 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1458]"
"1452","19.272971","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1352 [PSH, ACK] Seq=30956 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1458]"
"1536","19.287815","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1352 [ACK] Seq=47973 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1557]"
"1599","19.301641","157.240.26.49","192.168.2.103","TCP","1386","[TCP Retransmission] 443  >  1352 [ACK] Seq=90833 Ack=3976 Win=77056 Len=1240"
"1601","19.303235","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1352 [PSH, ACK] Seq=92073 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1597]"
"1741","19.452576","157.240.26.49","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1352 [ACK] Seq=167951 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 1738]"
"1871","22.080138","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1189  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=256 Len=71"
"1993","22.358143","192.168.2.103","34.36.199.114","TCP","828","[TCP Retransmission] 1364  >  443 [PSH, ACK] Seq=1 Ack=1 Win=66304 Len=674"
"2069","22.380146","34.36.199.114","192.168.2.103","TCP","373","[TCP Retransmission] 443  >  1360 [PSH, ACK] Seq=1 Ack=675 Win=269056 Len=219"
"3054","26.883455","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1189  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=256 Len=71"
"3057","26.883714","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1189  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=256 Len=71"
"3158","28.886467","192.168.2.103","172.217.4.202","TCP","1386","[TCP Retransmission] 1373  >  443 [ACK] Seq=429 Ack=4692 Win=66048 Len=1240"
"3166","28.895010","192.168.2.103","172.217.4.202","TCP","839","[TCP Retransmission] 1373  >  443 [PSH, ACK] Seq=1669 Ack=4692 Win=66048 Len=693 [TCP PDU reassembled in 3152]"
"3301","32.646153","192.168.2.103","172.217.4.202","TCP","1394","[TCP Retransmission] 1373  >  443 [ACK] Seq=4295 Ack=5951 Win=66304 Len=1240"
"3777","46.004065","172.217.4.202","192.168.2.103","TCP","1386","[TCP Retransmission] 443  >  1378 [ACK] Seq=72891 Ack=1003 Win=269056 Len=1240"
"3780","46.006202","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=76611 Ack=1003 Win=269056 Len=1240"
"3781","46.006206","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [PSH, ACK] Seq=77851 Ack=1003 Win=269056 Len=1240"
"3782","46.006210","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=79091 Ack=1003 Win=269056 Len=1240"
"3948","46.043477","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=195651 Ack=1003 Win=269056 Len=1240"
"3949","46.043483","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=196891 Ack=1003 Win=269056 Len=1240"
"5138","46.309404","172.217.4.202","192.168.2.103","TCP","1394","[TCP Retransmission] 443  >  1378 [ACK] Seq=965691 Ack=1003 Win=269056 Len=1240"
