"No.","Time","Source","Destination","Protocol","Length","Info"
"616","2.023594","192.168.2.103","157.240.26.49","TLSv1.2","363","Application Data"
"617","2.023809","192.168.2.103","157.240.26.49","TLSv1.2","953","Application Data"
"618","2.023816","192.168.2.103","157.240.26.49","TLSv1.2","185","Application Data"
"621","2.024082","192.168.2.103","157.240.26.49","TCP","363","[TCP Retransmission] 1101  >  443 [PSH, ACK] Seq=1 Ack=1 Win=261 Len=209"
"622","2.024297","192.168.2.103","157.240.26.49","TCP","953","[TCP Retransmission] 1101  >  443 [PSH, ACK] Seq=210 Ack=1 Win=261 Len=799"
"623","2.024304","192.168.2.103","157.240.26.49","TCP","185","[TCP Retransmission] 1101  >  443 [PSH, ACK] Seq=1009 Ack=1 Win=261 Len=31"
"625","2.032902","157.240.26.49","192.168.2.103","TLSv1.2","181","Application Data"
"643","2.083641","192.168.2.103","157.240.26.49","TCP","146","1101  >  443 [ACK] Seq=1040 Ack=36 Win=260 Len=0"
"646","2.083895","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 643#1] 1101  >  443 [ACK] Seq=1040 Ack=36 Win=260 Len=0"
"651","2.085255","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 643#2] 1101  >  443 [ACK] Seq=1040 Ack=36 Win=260 Len=0"
"673","2.193544","192.168.2.103","224.0.0.251","MDNS","183","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"682","2.194433","192.168.2.103","224.0.0.251","MDNS","363","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"685","2.194713","192.168.2.103","224.0.0.251","MDNS","363","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"772","2.454133","192.168.2.103","224.0.0.251","MDNS","186","Standard query 0x0000 PTR _oculusal_sp_v2._tcp.local, ""QM"" question"
"783","2.458275","192.168.2.103","224.0.0.251","MDNS","366","Standard query response 0x0000 PTR 12549::oldman._oculusal_sp_v2._tcp.local SRV 0 0 3469 oldman.local TXT A 192.168.2.103 AAAA fe80::18a0:cb74:d156:8d15"
"807","2.640156","157.240.26.49","192.168.2.103","TLSv1.2","542","Application Data"
"809","2.640526","157.240.26.49","192.168.2.103","TLSv1.2","246","Application Data"
"811","2.641529","192.168.2.103","157.240.26.49","TCP","146","1101  >  443 [ACK] Seq=1040 Ack=532 Win=258 Len=0"
"814","2.642105","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 811#1] 1101  >  443 [ACK] Seq=1040 Ack=532 Win=258 Len=0"
"1047","6.289523","192.168.2.103","157.240.26.49","TLSv1.2","201","Application Data"
"1048","6.289529","192.168.2.103","157.240.26.49","TLSv1.2","178","Application Data"
"1051","6.290241","192.168.2.103","157.240.26.49","TCP","201","[TCP Retransmission] 1873  >  443 [PSH, ACK] Seq=1 Ack=1 Win=256 Len=47"
