"No.","Time","Source","Destination","Protocol","Length","Info"
"814","2.642105","192.168.2.103","157.240.26.49","TCP","146","[TCP Dup ACK 811#1] 1101  >  443 [ACK] Seq=1040 Ack=532 Win=258 Len=0"
"1156","6.401535","157.240.26.49","192.168.2.103","TCP","146","[TCP Dup ACK 1155#1] 443  >  2030 [ACK] Seq=1 Ack=519 Win=66816 Len=0"
"1473","8.154572","23.192.220.16","192.168.2.103","TCP","1386","443  >  2032 [ACK] Seq=15784 Ack=1127 Win=64128 Len=1240 [TCP PDU reassembled in 1475]"
"1501","8.162709","23.192.220.16","192.168.2.103","TCP","1394","443  >  2032 [PSH, ACK] Seq=24464 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 1508]"
"1502","8.162715","23.192.220.16","192.168.2.103","TCP","1394","443  >  2032 [ACK] Seq=25704 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 1508]"
"1503","8.162719","23.192.220.16","192.168.2.103","TCP","1394","443  >  2032 [ACK] Seq=26944 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 1508]"
"1504","8.162727","23.192.220.16","192.168.2.103","TCP","1394","443  >  2032 [ACK] Seq=28184 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 1508]"
"1505","8.162732","23.192.220.16","192.168.2.103","TCP","1394","443  >  2032 [PSH, ACK] Seq=29424 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 1508]"
"1506","8.162736","23.192.220.16","192.168.2.103","TCP","1394","443  >  2032 [ACK] Seq=30664 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 1508]"
"1507","8.162740","23.192.220.16","192.168.2.103","TCP","1394","443  >  2032 [ACK] Seq=31904 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 1508]"
"1509","8.162748","23.192.220.16","192.168.2.103","TCP","1394","443  >  2032 [PSH, ACK] Seq=34384 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 1524]"
"1542","8.169511","157.240.26.49","192.168.2.103","TCP","1394","[TCP Out-Of-Order] 443  >  2033 [PSH, ACK] Seq=1241 Ack=220 Win=261 Len=1240"
"1561","8.172372","23.192.220.16","192.168.2.103","TCP","1394","443  >  2032 [PSH, ACK] Seq=46784 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 1565]"
