"No.","Time","Source","Destination","Protocol","Length","Info"
"1477","8.155262","23.192.220.16","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2032 [PSH, ACK] Seq=19504 Ack=1127 Win=64128 Len=1240 [TCP PDU reassembled in 1508]"
"1584","8.176458","23.192.220.16","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2032 [ACK] Seq=60424 Ack=1158 Win=64128 Len=1240 [TCP PDU reassembled in 1607]"
"1826","8.454701","192.168.2.103","157.240.26.49","TCP","146","[TCP Previous segment not captured] 2033  >  443 [ACK] Seq=36972 Ack=18274 Win=65536 Len=0"
"1845","8.465283","157.240.26.49","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  2033 [ACK] Seq=18882 Ack=38254 Win=561 Len=0"
"2307","11.368729","157.240.26.49","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2038 [ACK] Seq=52053 Ack=3976 Win=77056 Len=1240 [TCP PDU reassembled in 2356]"
"3482","15.905288","34.36.199.114","192.168.2.103","TCP","154","[TCP Previous segment not captured] 443  >  2045 [ACK] Seq=1552 Ack=2310 Win=267776 Len=0"
"3483","15.905291","34.36.199.114","192.168.2.103","TCP","154","[TCP Previous segment not captured] 443  >  2043 [ACK] Seq=1552 Ack=2290 Win=267776 Len=0"
"3577","15.935584","34.36.199.114","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  2043 [ACK] Seq=1737 Ack=2622 Win=267520 Len=0"
"4624","17.532111","157.240.26.35","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  2050 [ACK] Seq=3227 Ack=596 Win=265 Len=0"
"7080","34.714442","142.250.190.42","192.168.2.103","TCP","146","[TCP Previous segment not captured] 443  >  2057 [ACK] Seq=7215 Ack=10094 Win=260864 Len=0"
"7576","38.914643","142.250.190.42","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2065 [PSH, ACK] Seq=56771 Ack=1003 Win=269056 Len=1240"
"7588","38.916925","142.250.190.42","192.168.2.103","TCP","1394","[TCP Previous segment not captured] 443  >  2065 [PSH, ACK] Seq=61731 Ack=1003 Win=269056 Len=1240"
