"No.","Time","Source","Destination","Protocol","Length","Info"
"621","2.024082","192.168.2.103","157.240.26.49","TCP","363","[TCP Retransmission] 1101  >  443 [PSH, ACK] Seq=1 Ack=1 Win=261 Len=209"
"622","2.024297","192.168.2.103","157.240.26.49","TCP","953","[TCP Retransmission] 1101  >  443 [PSH, ACK] Seq=210 Ack=1 Win=261 Len=799"
"623","2.024304","192.168.2.103","157.240.26.49","TCP","185","[TCP Retransmission] 1101  >  443 [PSH, ACK] Seq=1009 Ack=1 Win=261 Len=31"
"1051","6.290241","192.168.2.103","157.240.26.49","TCP","201","[TCP Retransmission] 1873  >  443 [PSH, ACK] Seq=1 Ack=1 Win=256 Len=47"
"1052","6.290246","192.168.2.103","157.240.26.49","TCP","178","[TCP Retransmission] 1873  >  443 [PSH, ACK] Seq=48 Ack=1 Win=256 Len=24"
"1168","6.403897","192.168.2.103","157.240.26.49","TCP","218","[TCP Retransmission] 2030  >  443 [PSH, ACK] Seq=519 Ack=213 Win=65280 Len=64"
"1169","6.403903","192.168.2.103","157.240.26.49","TCP","240","[TCP Retransmission] 2030  >  443 [PSH, ACK] Seq=583 Ack=213 Win=65280 Len=86"
"1170","6.403907","192.168.2.103","157.240.26.49","TCP","506","[TCP Retransmission] 2030  >  443 [PSH, ACK] Seq=669 Ack=213 Win=65280 Len=352"
"1190","6.414801","192.168.2.103","157.240.26.49","TCP","185","[TCP Retransmission] 2030  >  443 [PSH, ACK] Seq=1021 Ack=500 Win=65024 Len=31"
"1257","6.516387","192.168.2.103","157.240.26.49","TCP","185","[TCP Retransmission] 2031  >  443 [PSH, ACK] Seq=1696 Ack=1045 Win=64512 Len=31"
"1264","6.517175","192.168.2.103","157.240.26.49","TCP","185","[TCP Retransmission] 2031  >  443 [PSH, ACK] Seq=1696 Ack=1045 Win=64512 Len=31"
"1276","6.538297","192.168.2.103","157.240.26.49","TCP","217","[TCP Retransmission] 1873  >  443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=256 Len=71"
